communityname,State,countyCode,communityCode,fold,pop,perHoush,pctBlack,pctWhite,pctAsian,pctHisp,pct12-21,pct12-29,pct16-24,pct65up,persUrban,pctUrban,medIncome,pctWwage,pctWfarm,pctWdiv,pctWsocsec,pctPubAsst,pctRetire,medFamIncome,perCapInc,whitePerCap,blackPerCap,NAperCap,asianPerCap,otherPerCap,hispPerCap,persPoverty,pctPoverty,pctLowEdu,pctNotHSgrad,pctCollGrad,pctUnemploy,pctEmploy,pctEmployMfg,pctEmployProfServ,pctOccupManu,pctOccupMgmt,pctMaleDivorc,pctMaleNevMar,pctFemDivorc,pctAllDivorc,persPerFam,pct2Par,pctKids2Par,pctKids-4w2Par,pct12-17w2Par,pctWorkMom-6,pctWorkMom-18,kidsBornNevrMarr,pctKidsBornNevrMarr,numForeignBorn,pctFgnImmig-3,pctFgnImmig-5,pctFgnImmig-8,pctFgnImmig-10,pctImmig-3,pctImmig-5,pctImmig-8,pctImmig-10,pctSpeakOnlyEng,pctNotSpeakEng,pctLargHousFam,pctLargHous,persPerOccupHous,persPerOwnOccup,persPerRenterOccup,pctPersOwnOccup,pctPopDenseHous,pctSmallHousUnits,medNumBedrm,houseVacant,pctHousOccup,pctHousOwnerOccup,pctVacantBoarded,pctVacant6up,medYrHousBuilt,pctHousWOphone,pctHousWOplumb,ownHousLowQ,ownHousMed,ownHousUperQ,ownHousQrange,rentLowQ,rentMed,rentUpperQ,rentQrange,medGrossRent,medRentpctHousInc,medOwnCostpct,medOwnCostPctWO,persEmergShelt,persHomeless,pctForeignBorn,pctBornStateResid,pctSameHouse-5,pctSameCounty-5,pctSameState-5,numPolice,policePerPop,policeField,policeFieldPerPop,policeCalls,policCallPerPop,policCallPerOffic,policePerPop2,racialMatch,pctPolicWhite,pctPolicBlack,pctPolicHisp,pctPolicAsian,pctPolicMinority,officDrugUnits,numDiffDrugsSeiz,policAveOT,landArea,popDensity,pctUsePubTrans,policCarsAvail,policOperBudget,pctPolicPatrol,gangUnit,pctOfficDrugUnit,policBudgetPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,nonViolPerPop,violentPerPop
SouthPlainfieldborough,NJ,23.0,69390.0,7,20489,3.06,6.33,87.83,4.01,4.42,12.87,24.68,11.73,11.57,20489,100.0,51198,87.14,0.7,56.78,25.67,2.51,16.85,54162,18046,18320,18140,28089,13554,13070.0,15750,567,2.79,7.28,19.05,18.65,4.53,68.59,20.33,19.32,11.37,26.71,4.84,28.97,7.19,6.04,3.31,85.9,82.41,96.64,89.13,65.59,69.89,137,0.94,2186,7.64,11.8,22.92,31.15,0.82,1.26,2.45,3.32,86.18,1.44,5.62,4.79,3.03,3.06,2.77,91.6,1.42,15.98,3,118,98.27,90.81,3.39,47.46,1957,0.52,0.19,139800,162900,187700,47900,520,680,866,346,734,26.7,23.8,14.5,0,0,10.67,67.15,71.8,85.5,94.41,,,,,,,,,,,,,,,,,,8.7,2365.9,2.88,,,,,0.0,,1,4.74,4.0,18.97,28.0,132.77,20.0,94.84,121.0,573.76,825.0,3911.99,71.0,336.67,5.0,23.71,4846.13,251.32
RockHillcity,SC,,,2,41643,2.84,38.14,60.42,0.82,0.64,18.54,34.13,20.08,11.19,41643,100.0,26615,80.56,0.37,27.62,26.42,7.67,14.1,31404,11481,14159,7394,6076,6771,10218.0,12158,6312,16.38,16.51,37.12,17.69,6.92,62.13,26.69,20.14,22.06,21.81,10.45,36.8,12.61,11.65,3.18,61.2,54.02,68.06,64.49,73.57,75.86,2781,8.81,542,11.25,11.25,26.2,44.46,0.15,0.15,0.34,0.58,96.26,0.43,6.56,4.62,2.64,2.67,2.6,54.49,5.36,51.75,2,1013,93.54,53.87,3.65,34.16,1965,9.21,0.76,40400,56300,81400,41000,215,314,396,181,438,25.1,19.6,13.9,43,0,1.3,69.31,50.02,77.35,86.97,,,,,,,,,,,,,,,,,,24.0,1736.3,0.23,,,,,0.0,,6,12.73,23.0,48.81,120.0,254.66,816.0,1731.71,710.0,1506.76,2270.0,4817.39,149.0,316.21,5.0,10.61,6650.96,2047.92
PicoRiveracity,CA,,,8,59177,3.7,0.69,58.78,3.16,83.2,17.17,31.31,16.12,8.93,59177,100.0,34383,82.0,0.22,23.18,25.09,12.12,14.82,36023,10454,10998,14888,10740,16781,8980.0,9432,6785,11.61,22.12,47.73,6.1,8.44,57.83,26.13,15.94,26.09,14.08,8.67,36.88,12.35,10.54,4.0,73.32,61.81,78.73,82.25,54.89,60.98,2817,5.6,17336,12.09,20.03,27.31,37.25,3.54,5.87,8.0,10.91,35.92,14.38,20.77,17.29,3.67,3.75,3.46,71.81,25.88,57.33,2,314,98.08,70.15,1.27,27.07,1956,3.75,0.17,135500,165000,191100,55600,446,561,695,249,613,28.6,24.6,11.0,23,0,29.3,56.0,61.7,91.97,93.83,,,,,,,,,,,,,,,,,,8.3,7160.8,3.56,,,,,0.0,,8,12.72,18.0,28.63,203.0,322.84,619.0,984.41,478.0,760.18,836.0,1329.52,499.0,793.58,10.0,15.9,2899.17,1348.6
Longmontcity,CO,,,10,51555,2.63,0.38,92.74,1.23,11.09,13.28,25.97,11.43,8.66,51524,100.0,32534,83.17,1.11,43.44,20.12,4.42,12.66,37968,14037,14483,11807,10866,9799,7158.0,7202,3984,7.82,6.1,15.48,20.45,5.98,68.92,23.61,18.79,13.99,26.2,10.78,25.04,14.55,12.75,3.11,76.18,74.61,82.98,79.27,62.01,70.8,641,1.68,1970,14.01,24.16,32.89,45.03,0.54,0.92,1.26,1.72,91.09,1.66,4.25,3.04,2.61,2.74,2.39,65.38,2.89,40.55,3,910,95.56,62.23,1.1,21.43,1973,3.95,0.32,70800,85900,102400,31600,322,392,490,168,466,25.5,22.6,13.7,0,0,3.82,39.89,43.09,74.15,83.89,,,,,,,,,,,,,,,,,,13.6,3786.4,1.68,,,,,0.0,,3,5.2,30.0,52.03,20.0,34.68,51.0,88.44,466.0,808.13,2044.0,3544.67,83.0,143.94,1.0,1.73,4498.47,180.36
Frankfortcity,KY,,,8,25968,2.35,11.65,87.43,0.57,0.56,13.77,26.81,13.72,12.87,0,0.0,25670,76.77,1.71,40.84,28.43,5.49,19.52,31618,13100,13941,7258,9336,16126,4652.0,9466,3246,13.02,10.65,22.88,22.66,5.14,64.11,12.61,20.91,11.67,32.27,13.29,27.98,18.03,15.85,2.89,67.03,63.7,72.96,67.04,73.12,77.93,703,3.64,264,15.53,15.53,25.0,25.0,0.16,0.16,0.25,0.25,97.23,0.34,2.3,1.46,2.26,2.42,2.08,57.57,1.8,55.42,2,843,92.9,53.86,2.49,27.16,1964,9.31,0.24,45400,61500,78600,33200,213,282,340,127,345,23.5,16.1,11.6,0,0,1.02,80.56,49.11,78.77,91.68,,,,,,,,,,,,,,,,,,15.1,1720.6,0.6,,,,,0.0,,3,10.93,17.0,61.94,20.0,72.87,138.0,502.82,269.0,980.14,964.0,3512.48,52.0,189.47,3.0,10.93,4693.02,648.57
Winchestercity,KY,,,7,15799,2.55,9.67,89.87,0.16,0.4,13.77,26.79,12.42,13.11,0,0.0,21543,72.64,1.75,30.04,30.73,10.49,16.93,25530,10832,11103,9026,13714,3274,667.0,3489,3383,21.65,19.51,37.65,11.36,6.17,57.19,23.02,18.08,22.87,18.88,11.27,23.25,14.79,13.19,3.04,71.14,66.47,77.52,82.99,68.33,68.72,492,3.74,40,35.0,35.0,35.0,35.0,0.09,0.09,0.09,0.09,97.55,0.53,3.89,2.79,2.53,2.59,2.46,58.75,3.03,50.11,2,391,94.07,57.57,1.53,26.6,1962,13.56,0.2,36500,50800,68400,31900,154,263,344,190,317,25.3,18.4,12.5,0,0,0.25,84.16,50.76,82.62,93.85,,,,,,,,,,,,,,,,,,5.9,2697.9,0.0,,,,,0.0,,0,0.0,5.0,29.86,6.0,35.83,75.0,447.89,81.0,483.73,413.0,2466.41,32.0,191.1,1.0,5.97,3147.21,513.59
Statesborocity,GA,,,10,15854,3.02,31.59,66.91,1.07,0.85,36.31,50.47,40.59,10.08,0,0.0,17161,79.39,0.44,32.72,26.79,8.27,12.34,26184,9178,10838,5722,7000,7339,8226.0,4699,4123,33.06,13.55,30.65,26.7,7.5,49.33,14.49,35.46,13.04,27.9,5.99,58.18,7.73,6.94,3.02,59.08,52.73,68.74,60.72,73.6,77.73,738,7.96,316,39.24,43.35,53.48,57.28,0.78,0.86,1.07,1.14,94.83,0.99,5.21,2.89,2.38,2.46,2.32,46.52,5.03,55.57,2,506,91.21,45.07,0.4,21.34,1970,8.97,1.23,41700,57600,76700,35000,167,251,349,182,333,35.1,19.6,13.5,0,0,1.99,69.73,35.54,56.23,88.84,,,,,,,,,,,,,,,,,,8.1,1949.6,0.23,,,,,0.0,,0,0.0,4.0,21.43,19.0,101.77,43.0,230.33,99.0,530.29,622.0,3331.73,39.0,208.9,0.0,0.0,4070.92,353.53
Northfieldcity,MN,131.0,46924.0,4,14514,3.58,0.73,96.33,2.08,1.38,35.82,47.34,38.29,7.68,0,0.0,30613,78.97,2.03,52.73,26.39,3.43,11.6,40020,10915,11118,10325,2752,5872,4813.0,5283,1083,10.89,7.74,15.48,35.68,3.05,64.93,11.38,48.65,11.75,30.35,4.34,53.98,6.71,5.59,3.11,78.71,78.68,89.76,78.71,73.51,81.55,239,3.07,409,22.0,32.27,39.61,55.99,0.62,0.91,1.12,1.58,94.65,0.44,3.53,2.32,2.48,2.79,1.94,71.22,1.85,48.81,3,177,95.82,63.24,0.56,11.86,1971,2.22,0.14,66200,81800,97400,31200,263,365,459,196,411,28.6,21.5,11.4,0,0,2.82,58.81,34.58,50.19,75.58,,,,,,,,,,,,,,,,,,6.1,2373.3,0.71,,,,,0.0,,0,0.0,4.0,24.85,1.0,6.21,12.0,74.54,62.0,385.12,425.0,2639.92,25.0,155.29,6.0,37.27,3217.59,105.6
Warrentown,RI,1.0,73760.0,6,11385,2.53,0.31,99.05,0.4,1.2,11.4,23.92,10.96,15.67,9888,86.85,31637,76.46,0.86,42.69,32.82,6.05,17.33,37795,15255,15266,11949,14762,16449,13000.0,9115,792,7.16,14.14,30.69,15.29,5.21,64.04,27.58,21.18,17.88,22.02,8.34,27.47,10.38,9.43,3.03,78.71,77.41,84.38,82.34,71.62,79.9,117,1.34,1152,0.61,10.42,15.71,16.23,0.06,1.05,1.59,1.64,82.67,3.58,3.45,2.38,2.47,2.73,2.09,65.33,1.22,48.02,3,292,93.9,59.1,0.34,51.03,1949,2.56,1.15,110800,139700,172500,61700,304,408,503,199,491,26.7,23.7,13.5,0,0,10.12,55.36,58.31,79.49,90.11,,,,,,,,,,,,,,,,,,6.4,1785.6,1.88,,,,,0.0,,0,0.0,1.0,8.82,0.0,0.0,0.0,0.0,61.0,538.2,280.0,2470.44,18.0,158.81,0.0,0.0,3167.46,8.82
Walpoletown,MA,21.0,72495.0,10,20212,2.98,1.6,97.01,0.66,1.53,11.89,25.03,11.91,10.3,19935,98.63,51242,85.54,0.59,56.33,26.51,3.73,17.33,57187,20128,20530,5604,5581,22126,1476.0,7114,494,2.54,3.21,11.27,31.72,4.78,67.9,16.3,26.76,8.44,35.41,5.6,33.53,7.49,6.53,3.29,86.68,86.42,94.02,89.95,67.28,72.88,79,0.56,1040,3.85,9.9,14.71,19.23,0.2,0.51,0.76,0.99,93.13,0.91,4.75,3.79,2.88,3.03,2.18,86.22,0.55,28.2,3,245,96.51,81.79,1.63,34.69,1959,0.32,0.11,162400,190600,237800,75400,432,615,737,305,694,23.3,23.6,13.5,0,0,5.15,78.24,67.02,84.12,94.94,,,,,,,,,,,,,,,,,,21.3,950.2,6.92,,,,,0.0,,1,4.8,17.0,81.66,3.0,14.41,42.0,201.74,79.0,379.46,228.0,1095.15,43.0,206.54,0.0,0.0,1681.16,302.61
Sherwoodcity,AR,,,5,18893,2.69,5.25,93.64,0.47,1.09,14.39,26.78,11.9,6.96,18893,100.0,36698,88.53,1.24,42.65,17.78,2.53,16.71,39659,15325,15620,11853,8805,13568,4104.0,8764,801,4.25,2.56,12.78,23.47,3.55,72.16,12.59,23.61,10.93,28.07,8.49,21.25,12.69,10.67,3.05,82.64,80.91,89.43,85.96,71.97,77.53,51,0.41,263,5.32,5.32,14.45,21.67,0.07,0.07,0.2,0.3,97.16,0.45,2.2,1.77,2.68,2.78,2.43,75.63,1.31,28.3,3,357,95.16,73.13,2.52,33.89,1976,2.09,0.09,55900,70100,90400,34500,275,339,414,139,463,21.7,18.6,11.5,6,0,1.39,61.69,50.98,79.25,86.66,,,,,,,,,,,,,,,,,,12.1,1558.8,0.53,,,,,0.0,,1,4.83,3.0,14.49,16.0,77.25,36.0,173.82,119.0,574.57,653.0,3152.91,93.0,449.04,1.0,4.83,4181.35,270.39
Cloviscity,CA,,,4,50323,2.76,1.72,83.17,5.48,16.31,14.74,29.59,13.43,7.21,50323,100.0,31699,83.28,1.15,31.89,17.57,11.05,11.27,36981,13160,13899,9777,8634,9758,9376.0,9023,5173,10.34,6.78,18.17,20.13,5.79,68.5,9.08,25.54,11.52,26.75,10.45,28.22,15.61,13.18,3.25,73.51,72.49,81.26,76.86,59.21,70.44,886,2.63,3533,19.33,29.55,38.72,49.45,1.36,2.07,2.72,3.47,85.24,2.28,5.66,4.07,2.75,2.92,2.54,56.64,5.66,45.79,3,629,96.67,53.18,1.27,18.76,1976,1.57,0.13,75700,92300,116000,40300,350,405,480,130,474,26.6,22.9,12.1,40,0,7.02,64.52,34.79,77.6,91.16,,,,,,,,,,,,,,,,,,14.8,3393.8,0.95,,,,,0.0,,2,3.3,17.0,28.06,69.0,113.89,156.0,257.49,718.0,1185.13,1844.0,3043.71,362.0,597.52,29.0,47.87,4874.22,402.75
SandSpringscity,OK,,,5,15346,2.71,1.64,91.75,0.22,1.51,15.02,25.71,11.23,9.85,15395,100.0,28315,78.95,1.5,35.19,24.45,5.66,14.92,34073,12589,13016,6557,8279,4159,5647.0,5076,1254,8.3,7.49,24.95,14.8,5.44,64.28,23.58,19.76,16.07,24.69,10.25,20.95,15.9,13.27,3.13,77.17,73.01,90.34,79.54,59.06,72.65,100,0.89,84,10.71,10.71,10.71,10.71,0.06,0.06,0.06,0.06,97.63,0.23,3.37,2.6,2.67,2.72,2.53,72.37,2.28,38.99,3,634,89.92,70.89,4.73,64.67,1971,5.4,0.33,41400,55200,73500,32100,188,260,350,162,342,22.3,19.2,12.6,20,0,0.55,68.58,48.61,78.88,91.53,,,,,,,,,,,,,,,,,,18.9,810.2,0.24,,,,,0.0,,0,0.0,5.0,30.13,18.0,108.45,42.0,253.06,137.0,825.45,462.0,2783.64,113.0,680.85,1.0,6.03,4295.96,391.64
Londonderrytown,NH,15.0,43220.0,10,19781,3.1,0.4,98.35,0.95,0.94,14.53,25.3,10.9,3.82,0,0.0,52882,93.64,0.58,54.9,11.86,1.45,9.4,55594,18888,18829,24247,12364,28355,18733.0,17805,426,2.15,2.32,8.76,33.42,5.13,76.81,28.22,19.53,9.38,37.55,6.32,24.31,9.03,7.69,3.39,88.57,87.56,96.02,92.28,66.02,74.29,145,1.19,706,7.08,10.34,18.27,20.25,0.25,0.37,0.65,0.72,95.17,0.28,4.17,3.51,3.1,3.16,2.7,87.86,1.06,32.68,3,353,94.76,86.08,0.57,34.84,1977,0.45,0.31,127900,152900,186900,59000,523,639,823,300,787,25.3,26.6,13.9,0,0,3.57,24.74,52.16,67.4,72.68,,,,,,,,,,,,,,,,,,43.3,456.7,0.77,,,,,0.0,,0,0.0,1.0,5.0,1.0,5.0,6.0,30.02,74.0,370.22,377.0,1886.13,39.0,195.12,9.0,45.03,2496.5,40.02
